max_f,theta_idx,theta,eps_target,eps_pre,success,achieved_frob,f_level,N_D,method,wall,timed_out
1,67,1.0602875205865552,0.5,0.25,True,0.1234512861221084,4,20,zeta9-householder,18.23514747619629,False
1,68,1.0759954838545043,0.5,0.25,True,0.11786196404174011,4,20,zeta9-householder,19.591246604919434,False
1,69,1.0917034471224532,0.5,0.25,True,0.11308793263045348,4,20,zeta9-householder,17.8582181930542,False
1,70,1.1074114103904023,0.5,0.25,True,0.1092364493792468,4,20,zeta9-householder,17.152154207229614,False
1,71,1.1231193736583511,0.5,0.25,True,0.10640798600734949,4,20,zeta9-householder,16.591131448745728,False
1,72,1.1388273369263,0.5,0.25,True,0.10468567700605516,4,20,zeta9-householder,17.139243125915527,False
1,73,1.154535300194249,0.5,0.25,True,0.10412453482167795,4,20,zeta9-householder,17.343282222747803,False
1,74,1.170243263462198,0.5,0.25,True,0.10474325781986547,4,20,zeta9-householder,17.682960033416748,False
1,75,1.185951226730147,0.5,0.25,True,0.10652125102196425,4,20,zeta9-householder,16.43843650817871,False
1,76,1.201659189998096,0.5,0.25,True,0.10940190200857217,4,20,zeta9-householder,17.336329698562622,False
1,77,1.2173671532660448,0.5,0.25,True,0.11330096832023236,4,20,zeta9-householder,17.736520290374756,False
1,78,1.233075116533994,0.5,0.25,True,0.11811741249293393,4,20,zeta9-householder,18.582054376602173,False
1,79,1.2487830798019428,0.5,0.25,True,0.11919004744008961,4,20,zeta9-householder,18.782960653305054,False
1,80,1.264491043069892,0.5,0.25,True,0.11420161418286456,4,20,zeta9-householder,18.043105840682983,False
1,81,1.2801990063378408,0.5,0.25,True,0.11010911755406967,4,20,zeta9-householder,19.248883962631226,False
1,82,1.2959069696057899,0.5,0.25,True,0.10701565910868698,4,19,zeta9-householder,18.647948026657104,False
1,83,1.3116149328737388,0.5,0.25,True,0.10500976474269483,4,19,zeta9-householder,18.09265112876892,False
1,84,1.3273228961416876,0.5,0.25,True,0.10415441514227185,4,20,zeta9-householder,18.147136449813843,False
1,85,1.3430308594096367,0.5,0.25,True,0.10447792511972737,4,16,zeta9-householder,18.036375761032104,False
1,86,1.3587388226775856,0.5,0.25,True,0.10596947890318477,4,18,zeta9-householder,17.375564098358154,False
1,87,1.3744467859455347,0.5,0.25,True,0.1085808624770454,4,20,zeta9-householder,17.39334511756897,False
1,88,1.3901547492134836,0.5,0.25,True,0.11223378274285557,4,20,zeta9-householder,16.888160467147827,False
1,89,1.4058627124814325,0.5,0.25,True,0.11133681651100212,4,19,zeta9-householder,17.618934631347656,False
1,90,1.4215706757493816,0.5,0.25,True,0.10790740474580585,4,19,zeta9-householder,17.2388596534729,False
1,91,1.4372786390173304,0.5,0.25,True,0.1055390133352406,4,19,zeta9-householder,17.445761680603027,False
1,92,1.4529866022852795,0.5,0.25,True,0.1043040934208711,4,19,zeta9-householder,16.957481622695923,False
1,93,1.4686945655532284,0.5,0.25,True,0.10424301266577578,4,19,zeta9-householder,16.987780809402466,False
1,94,1.4844025288211773,0.5,0.25,True,0.10535781640386738,4,19,zeta9-householder,17.526577472686768,False
1,95,1.5001104920891264,0.5,0.25,True,0.10761189922182646,4,19,zeta9-householder,17.062957048416138,False
1,96,1.5158184553570753,0.5,0.25,True,0.11093570303567492,4,19,zeta9-householder,16.72783660888672,False
1,97,1.5315264186250244,0.5,0.25,True,0.11523650780335697,4,19,zeta9-householder,17.678730010986328,False
1,98,1.5472343818929732,0.5,0.25,True,0.12040941998075755,4,19,zeta9-householder,17.442325353622437,False
1,99,1.5629423451609221,0.5,0.25,True,0.11697329176160587,4,20,zeta9-householder,17.288347244262695,False
